start,end,value
3371,89770,-1
89771,176170,1
176171,262570,-1
262571,348970,-1
348971,435370,1
435371,521770,1
521771,608170,1
608171,694570,1
694571,780970,-1
780971,867370,-1
867371,953770,-1
953771,1040170,1
1040171,1126570,-1
1126571,1212970,-1
1212971,1299370,-1
1299371,1385770,-1
1385771,1472170,1
1472171,1558570,1
1558571,1644970,1
1644971,1731370,1
1731371,1817770,1
1817771,1904170,1
1904171,1990570,-1
1990571,2076970,-1
2076971,2163370,1
2163371,2249770,1
2249771,2336170,-1
2336171,2422570,1
2422571,2508970,1
2508971,2595370,1
2595371,2681770,1
2681771,2768170,1
2768171,2854570,1
2854571,2940970,1
2940971,3027370,-1
3027371,3113770,1
3113771,3200170,1
3200171,3286570,-1
3286571,3372970,1
3372971,3459370,1
3459371,3545770,1
3545771,3632170,1
3632171,3718570,1
3718571,3804970,-1
3804971,3891370,1
3891371,3977770,1
3977771,4064170,1
4064171,4150570,-1
4150571,4236970,1
4236971,4323370,1
4323371,4409770,1
4409771,4496170,1
4496171,4582570,1
4582571,4668970,1
4668971,4755370,-1
4755371,4841770,1
4841771,4928170,1
4928171,5014570,1
5014571,5100970,1
5100971,5187370,1
5187371,5273770,1
5273771,5360170,1
5360171,5446570,1
5446571,5532970,1
5532971,5619370,1
5619371,5705770,1
5705771,5792170,1
5792171,5878570,-1
5878571,5964970,1
5964971,6051370,1
6051371,6137770,-1
6137771,6224170,-1
6224171,6310570,-1
6310571,6396970,1
6396971,6483370,1
6483371,6569770,-1
6569771,6656170,1
6656171,6742570,-1
6742571,6828970,-1
6828971,6915370,-1
6915371,7001770,-1
7001771,7088170,-1
7088171,7174570,-1
7174571,7260970,-1
7260971,7347370,1
7347371,7433770,-1
7433771,7520170,-1
7520171,7606570,-1
7606571,7692970,-1
7692971,7779370,-1
7779371,7865770,1
7865771,7952170,1
7952171,8038570,-1
8038571,8124970,1
8124971,8211370,1
8211371,8297770,1
8297771,8384170,-1
8384171,8470570,1
8470571,8556970,1
8556971,8643370,1
8643371,8729770,1
8729771,8816170,1
8816171,8902570,-1
8902571,8988970,1
8988971,9075370,1
9075371,9161770,1
9161771,9248170,-1
9248171,9334570,1
9334571,9420970,-1
9420971,9507370,-1
9507371,9593770,-1
9593771,9680170,-1
9680171,9766570,1
9766571,9852970,1
9852971,9939370,-1
9939371,10025770,-1
10025771,10112170,-1
10112171,10198570,-1
10198571,10284970,1
10284971,10371370,1
10371371,10457770,-1
10457771,10544170,-1
10544171,10630570,1
10630571,10716970,1
10716971,10803370,1
10803371,10889770,-1
10889771,10976170,1
10976171,11062570,1
11062571,11148970,1
11148971,11235370,1
11235371,11321770,1
11321771,11408170,1
11408171,11494570,1
11494571,11580970,1
11580971,11667370,1
11667371,11753770,1
11753771,11840170,1
11840171,11926570,1
11926571,12012970,-1
12012971,12099370,-1
12099371,12185770,-1
12185771,12272170,-1
12272171,12358570,-1
12358571,12444970,-1
12444971,12531370,-1
12531371,12617770,1
12617771,12704170,1
12704171,12790570,1
12790571,12876970,1
12876971,12963370,1
12963371,13049770,-1
13049771,13136170,1
13136171,13222570,1
13222571,13308970,1
13308971,13395370,1
13395371,13481770,-1
13481771,13568170,-1
13568171,13654570,-1
13654571,13740970,1
13740971,13827370,1
13827371,13913770,1
13913771,14000170,1
14000171,14086570,1
14086571,14172970,1
14172971,14259370,1
14259371,14345770,1
14345771,14432170,1
14432171,14518570,1
14518571,14604970,1
14604971,14691370,-1
14691371,14777770,1
14777771,14864170,1
14864171,14950570,1
14950571,15036970,1
15036971,15123370,1
15123371,15209770,1
15209771,15296170,-1
15296171,15382570,-1
15382571,15468970,-1
15468971,15555370,-1
15555371,15641770,-1
15641771,15728170,-1
15728171,15814570,1
15814571,15900970,1
15900971,15987370,1
15987371,16073770,-1
16073771,16160170,1
16160171,16246570,1
16246571,16332970,1
16332971,16419370,-1
16419371,16505770,-1
16505771,16592170,-1
16592171,16678570,-1
16678571,16764970,-1
16764971,16851370,-1
16851371,16937770,-1
16937771,17024170,-1
17024171,17110570,1
17110571,17196970,1
17196971,17283370,-1
17283371,17369770,-1
17369771,17456170,1
17456171,17542570,1
17542571,17628970,-1
17628971,17715370,1
17715371,17801770,1
17801771,17888170,1
17888171,17974570,1
17974571,18060970,1
18060971,18147370,1
18147371,18233770,-1
18233771,18320170,-1
18320171,18406570,1
18406571,18492970,-1
18492971,18579370,1
18579371,18665770,1
18665771,18752170,1
18752171,18838570,1
18838571,18924970,-1
18924971,19011370,1
19011371,19097770,-1
19097771,19184170,1
19184171,19270570,1
19270571,19356970,-1
19356971,19443370,1
19443371,19529770,1
19529771,19616170,-1
19616171,19702570,-1
19702571,19788970,1
19788971,19875370,-1
19875371,19961770,-1
19961771,20048170,-1
20048171,20134570,-1
20134571,20220970,1
20220971,20307370,-1
20307371,20393770,1
20393771,20480170,1
20480171,20566570,-1
20566571,20652970,-1
20652971,20739370,-1
20739371,20825770,1
20825771,20912170,1
20912171,20998570,1
20998571,21084970,-1
21084971,21171370,1
21171371,21257770,-1
21257771,21344170,1
21344171,21430570,-1
21430571,21516970,-1
21516971,21603370,1
21603371,21689770,-1
21689771,21776170,-1
21776171,21862570,1
21862571,21948970,-1
21948971,22035370,-1
22035371,22121770,1
22121771,22208170,-1
22208171,22294570,1
22294571,22380970,-1
22380971,22467370,-1
22467371,22553770,-1
22553771,22640170,1
22640171,22726570,1
22726571,22812970,-1
22812971,22899370,1
22899371,22985770,1
22985771,23072170,1
23072171,23158570,1
23158571,23244970,1
23244971,23331370,1
23331371,23417770,-1
23417771,23504170,-1
23504171,23590570,-1
23590571,23676970,-1
23676971,23763370,-1
23763371,23849770,-1
23849771,23936170,-1
23936171,24022570,-1
24022571,24108970,-1
24108971,24195370,-1
24195371,24281770,1
24281771,24368170,1
24368171,24454570,-1
24454571,24540970,-1
24540971,24627370,-1
24627371,24713770,1
24713771,24800170,-1
24800171,24886570,1
24886571,24972970,1
24972971,25059370,-1
25059371,25145770,-1
25145771,25232170,-1
25232171,25318570,-1
25318571,25404970,1
25404971,25491370,1
25491371,25577770,-1
25577771,25664170,1
25664171,25750570,1
25750571,25836970,1
25836971,25923370,1
25923371,26009770,-1
26009771,26096170,-1
26096171,26182570,-1
26182571,26268970,1
26268971,26355370,1
26355371,26441770,1
26441771,26528170,-1
26528171,26614570,-1
26614571,26700970,-1
26700971,26787370,-1
26787371,26873770,-1
26873771,26960170,1
26960171,27046570,1
27046571,27132970,1
27132971,27219370,1
27219371,27305770,1
27305771,27392170,-1
27392171,27478570,-1
27478571,27564970,-1
27564971,27651370,-1
27651371,27737770,1
27737771,27824170,1
27824171,27910570,1
27910571,27996970,-1
27996971,28083370,-1
28083371,28169770,-1
28169771,28256170,-1
28256171,28342570,-1
28342571,28428970,-1
28428971,28515370,-1
28515371,28601770,1
28601771,28688170,-1
28688171,28774570,1
28774571,28860970,1
28860971,28947370,1
28947371,29033770,1
29033771,29120170,1
29120171,29206570,-1
29206571,29292970,1
29292971,29379370,1
29379371,29465770,-1
29465771,29552170,-1
29552171,29638570,-1
29638571,29724970,-1
29724971,29811370,1
29811371,29897770,1
29897771,29984170,1
29984171,30070570,-1
30070571,30156970,-1
30156971,30243370,-1
30243371,30329770,-1
30329771,30416170,-1
30416171,30502570,-1
30502571,30588970,1
30588971,30675370,-1
30675371,30761770,-1
30761771,30848170,-1
30848171,30934570,-1
30934571,31020970,1
31020971,31107370,-1
31107371,31193770,1
31193771,31280170,1
31280171,31366570,1
31366571,31452970,1
31452971,31539370,1
31539371,31625770,1
31625771,31712170,1
31712171,31798570,1
31798571,31884970,-1
31884971,31971370,1
31971371,32057770,1
32057771,32144170,-1
32144171,32230570,-1
32230571,32316970,1
32316971,32403370,1
32403371,32489770,-1
32489771,32576170,-1
32576171,32662570,1
32662571,32748970,-1
32748971,32835370,-1
32835371,32921770,-1
32921771,33008170,-1
33008171,33094570,-1
33094571,33180970,-1
33180971,33267370,1
33267371,33353770,1
33353771,33440170,-1
33440171,33526570,1
33526571,33612970,1
33612971,33699370,1
33699371,33785770,1
33785771,33872170,1
33872171,33958570,1
33958571,34044970,-1
34044971,34131370,1
34131371,34217770,1
34217771,34304170,1
34304171,34390570,1
34390571,34476970,-1
34476971,34563370,1
34563371,34649770,1
34649771,34736170,1
34736171,34822570,1
34822571,34908970,1
34908971,34995370,1
34995371,35081770,-1
35081771,35168170,-1
35168171,35254570,-1
35254571,35340970,-1
35340971,35427370,1
35427371,35513770,1
35513771,35600170,1
35600171,35686570,1
35686571,35772970,1
35772971,35859370,1
35859371,35945770,1
35945771,36032170,1
36032171,36118570,-1
36118571,36204970,-1
36204971,36291370,1
36291371,36377770,1
36377771,36464170,1
36464171,36550570,-1
36550571,36636970,1
36636971,36723370,1
36723371,36809770,1
36809771,36896170,1
36896171,36982570,1
36982571,37068970,1
37068971,37155370,1
37155371,37241770,1
37241771,37328170,-1
37328171,37414570,-1
37414571,37500970,1
37500971,37587370,1
37587371,37673770,-1
37673771,37760170,-1
37760171,37846570,-1
37846571,37932970,1
37932971,38019370,1
38019371,38105770,1
38105771,38192170,1
38192171,38278570,1
38278571,38364970,1
38364971,38451370,1
38451371,38537770,1
38537771,38624170,-1
38624171,38710570,1
38710571,38796970,1
38796971,38883370,-1
38883371,38969770,-1
38969771,39056170,-1
39056171,39142570,-1
39142571,39228970,-1
39228971,39315370,-1
39315371,39401770,-1
39401771,39488170,-1
39488171,39574570,-1
39574571,39660970,-1
39660971,39747370,-1
39747371,39833770,-1
39833771,39920170,-1
39920171,40006570,-1
40006571,40092970,-1
40092971,40179370,-1
40179371,40265770,1
40265771,40352170,1
40352171,40438570,-1
40438571,40524970,-1
40524971,40611370,-1
40611371,40697770,-1
40697771,40784170,-1
40784171,40870570,-1
40870571,40956970,-1
40956971,41043370,-1
41043371,41129770,-1
41129771,41216170,-1
41216171,41302570,-1
41302571,41388970,-1
41388971,41475370,-1
41475371,41561770,1
41561771,41648170,1
41648171,41734570,1
41734571,41820970,1
41820971,41907370,-1
41907371,41993770,-1
41993771,42080170,1
42080171,42166570,1
42166571,42252970,-1
42252971,42339370,1
42339371,42425770,1
42425771,42512170,1
42512171,42598570,1
42598571,42684970,-1
42684971,42771370,-1
42771371,42857770,-1
42857771,42944170,1
42944171,43030570,-1
43030571,43116970,-1
43116971,43203370,-1
43203371,43289770,-1
43289771,43376170,-1
43376171,43462570,1
43462571,43548970,-1
43548971,43635370,1
43635371,43721770,-1
43721771,43808170,1
43808171,43894570,1
43894571,43980970,-1
43980971,44067370,-1
44067371,44153770,-1
44153771,44240170,-1
44240171,44326570,-1
44326571,44412970,-1
44412971,44499370,-1
44499371,44585770,-1
44585771,44672170,1
44672171,44758570,-1
44758571,44844970,-1
44844971,44931370,-1
44931371,45017770,-1
45017771,45104170,-1
45104171,45190570,-1
45190571,45276970,-1
45276971,45363370,-1
45363371,45449770,-1
45449771,45536170,-1
45536171,45622570,-1
45622571,45708970,1
45708971,45795370,-1
45795371,45881770,-1
45881771,45968170,1
45968171,46054570,1
46054571,46140970,-1
46140971,46227370,-1
46227371,46313770,1
46313771,46400170,1
46400171,46486570,-1
46486571,46572970,1
46572971,46659370,1
46659371,46745770,-1
46745771,46832170,-1
46832171,46918570,-1
46918571,47004970,1
47004971,47091370,1
47091371,47177770,-1
47177771,47264170,1
47264171,47350570,-1
47350571,47436970,1
47436971,47523370,1
47523371,47609770,-1
47609771,47696170,1
47696171,47782570,-1
47782571,47868970,-1
47868971,47955370,-1
47955371,48041770,-1
48041771,48128170,1
48128171,48214570,-1
48214571,48300970,-1
48300971,48387370,-1
48387371,48473770,-1
48473771,48560170,-1
48560171,48646570,1
48646571,48732970,1
48732971,48819370,-1
48819371,48905770,-1
48905771,48992170,-1
48992171,49078570,1
49078571,49164970,-1
49164971,49251370,-1
49251371,49337770,1
49337771,49424170,-1
49424171,49510570,1
49510571,49596970,1
49596971,49683370,1
49683371,49769770,-1
49769771,49856170,-1
49856171,49942570,-1
49942571,50028970,1
50028971,50115370,1
50115371,50201770,1
50201771,50288170,-1
50288171,50374570,1
50374571,50460970,1
50460971,50547370,-1
50547371,50633770,-1
50633771,50720170,-1
50720171,50806570,-1
50806571,50892970,-1
50892971,50979370,-1
