start,end,value
0,0,0.01985172372591072
961,961,-0.0009615767582915606
14899,14899,-0.0113682270003927
16977,16977,-0.0009615767582915606
18813,18813,-0.02177487724249384
25197,25197,-0.02177487724249384
27003,27003,0.040665024210113
32042,32042,0.01985172372591072
77816,77816,0.040665024210113
82116,82116,0.040665024210113
84673,84673,0.040665024210113
86731,86731,0.040665024210113
94568,94568,-0.042588177726696
97091,97091,-0.0009615767582915606
105129,105129,-0.0113682270003927
106930,106930,0.030258373968011856
114242,114242,-0.0009615767582915606
116043,116043,-0.0113682270003927
122027,122027,-0.0009615767582915606
125983,125983,0.040665024210113
129958,129958,0.030258373968011856
133592,133592,0.040665024210113
146211,146211,0.040665024210113
152947,152947,0.040665024210113
157756,157756,0.040665024210113
176774,176774,-0.0009615767582915606
183306,183306,-0.042588177726696
185162,185162,-0.05299482796879714
195433,195433,-0.032181527484594866
197234,197234,-0.13624802990560625
202112,202112,-0.06340147821089828
204453,204453,-0.08421477869510056
208054,208054,0.01985172372591072
210047,210047,-0.0009615767582915606
251932,251932,0.040665024210113
255532,255532,0.00944507348380958
257406,257406,0.01985172372591072
268342,268342,-0.0113682270003927
278679,278679,-0.032181527484594866
283997,283997,0.040665024210113
285798,285798,-0.0009615767582915606
330968,330968,0.00944507348380958
335554,335554,-0.0009615767582915606
351282,351282,-0.02177487724249384
354085,354085,0.040665024210113
366394,366394,-0.06340147821089828
371153,371153,-0.02177487724249384
375132,375132,-0.02177487724249384
393365,393365,0.01985172372591072
393514,393514,-0.02177487724249384
410901,410901,0.040665024210113
419682,419682,0.030258373968011856
423431,423431,0.040665024210113
425257,425257,0.030258373968011856
429374,429374,-0.0009615767582915606
433432,433432,-0.05299482796879714
435233,435233,-0.0113682270003927
437849,437849,-0.0009615767582915606
439650,439650,-0.1570613303898084
442058,442058,-0.02177487724249384
446334,446334,-0.0009615767582915606
448135,448135,0.01985172372591072
450416,450416,0.040665024210113
462220,462220,-0.08421477869510056
468125,468125,0.030258373968011856
474398,474398,0.040665024210113
529086,529086,0.00944507348380958
532290,532290,-0.0113682270003927
543306,543306,-0.02177487724249384
550407,550407,-0.02177487724249384
557393,557393,0.030258373968011856
560154,560154,0.040665024210113
575365,575365,0.040665024210113
593883,593883,0.040665024210113
600771,600771,0.040665024210113
606240,606240,0.040665024210113
611746,611746,-0.032181527484594866
617455,617455,-0.0946214289372017
624709,624709,-0.0009615767582915606
633114,633114,-0.0009615767582915606
636102,636102,-0.05299482796879714
639035,639035,-0.0946214289372017
664191,664191,0.040665024210113
676656,676656,0.01985172372591072
681651,681651,0.040665024210113
694438,694438,-0.02177487724249384
698379,698379,-0.032181527484594866
701345,701345,0.00944507348380958
721268,721268,0.030258373968011856
723846,723846,-0.05299482796879714
725648,725648,-0.042588177726696
727448,727448,-0.0009615767582915606
745721,745721,0.040665024210113
752922,752922,0.040665024210113
787236,787236,-0.02177487724249384
789037,789037,-0.02177487724249384
794453,794453,-0.0009615767582915606
798495,798495,-0.0113682270003927
808800,808800,0.00944507348380958
811663,811663,0.00944507348380958
813679,813679,-0.12584137966350512
815622,815622,0.040665024210113
819222,819222,0.040665024210113
824064,824064,0.00944507348380958
827781,827781,-0.0113682270003927
839057,839057,0.030258373968011856
846987,846987,0.040665024210113
852083,852083,0.00944507348380958
855719,855719,0.040665024210113
871667,871667,0.00944507348380958
873468,873468,0.01985172372591072
875269,875269,-0.042588177726696
878885,878885,0.030258373968011856
880689,880689,-0.06340147821089828
